timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
154,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
311,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
466,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
623,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
777,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
934,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1091,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1246,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1403,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1559,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1715,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1873,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2029,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2187,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2343,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2498,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2654,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2809,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2963,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3118,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3274,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3431,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3585,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3739,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3896,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4052,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4209,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4366,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4523,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4680,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4837,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4994,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5149,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5305,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5461,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5616,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5774,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5928,380,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6084,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.22794837,0.38806152,0,0
6238,400,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.0564468,1.7965851,0,0
6397,410,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.9449033,3.3069,0,0
6551,420,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.280424,5.0644836,0,0
6706,430,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.3366556,5.3944855,0,0
6862,440,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.3948617,5.4744415,0,0
7019,450,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.5711884,5.494705,0,0
7177,460,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.626361,5.498703,0,0
7331,470,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.136938,5.499695,0,0
7488,480,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.260498,5.4999084,0,0
7644,490,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.291823,5.4999084,0,0
7797,500,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.298161,5.4999084,0.4186201,0
7954,510,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299561,5.4999084,2.628708,0
8109,520,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299902,5.4999084,4.060817,0
8264,530,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.762583,0
8419,540,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299937,5.4999084,4.627104,0
8575,550,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299937,5.4999084,4.563966,0
8730,560,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299937,5.4999084,4.527335,0
8888,570,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299937,5.4999084,4.5122385,0
9043,580,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299937,5.4999084,4.5053053,0
