timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
152,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
309,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
465,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
619,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
776,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
934,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1091,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1248,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1405,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1561,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1717,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1873,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2029,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2187,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2343,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2498,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2654,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2808,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2963,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3119,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3274,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3430,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3586,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3741,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3896,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4053,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4209,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4366,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4522,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4677,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4832,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4988,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5145,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5298,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5457,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5614,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5770,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5926,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6084,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.16217402,0.27619934,0,0
6238,400,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.95135856,1.6179504,0,0
6393,410,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.9449033,3.3069,0,0
6551,420,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.0463903,4.9032135,0,0
6705,430,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.219145,5.37648,0,0
6864,440,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.277243,5.4700775,0,0
7023,450,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.335916,5.492752,0,0
7177,460,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.3947325,5.49823,0,0
7334,470,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.109095,5.499634,0,0
7492,480,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.257267,5.4999084,0,0
7648,490,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.29116,5.4999084,0,0
7806,500,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.297855,5.4999084,0.41861057,0
7962,510,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299561,5.4999084,2.8471804,0
8118,520,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299902,5.4999084,4.060817,0
8273,530,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.7130156,0
8431,540,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.597249,0
8589,550,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.539771,0
