timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
2,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
165,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
320,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
478,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
634,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
790,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
947,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1106,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1264,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1424,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1581,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1738,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1897,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2054,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2212,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2368,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2527,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2683,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2842,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3000,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3159,200,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3315,210,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3472,220,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3632,230,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3789,240,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3945,250,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4103,260,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4261,270,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4420,280,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4578,290,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4738,300,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4896,310,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5051,320,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5210,330,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
5366,340,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.6504912,1.1064606,0,0
5522,350,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.6045604,2.728363,0,0
